G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Thu Feb 24 2022,7:30p,,Box Score,@,Brooklyn Nets,W,,129,106,35,26,W 1,
62,Sat Feb 26 2022,12:00p,,Box Score,@,Detroit Pistons,W,,113,104,36,26,W 2,
63,Sun Feb 27 2022,5:00p,,Box Score,@,Indiana Pacers,L,,107,128,36,27,L 1,
64,Tue Mar 1 2022,7:30p,,Box Score,,Atlanta Hawks,W,,107,98,37,27,W 1,
65,Thu Mar 3 2022,7:30p,,Box Score,,Memphis Grizzlies,W,,120,107,38,27,W 2,
66,Sun Mar 6 2022,1:00p,,Box Score,,Brooklyn Nets,W,,126,120,39,27,W 3,
67,Wed Mar 9 2022,7:00p,,Box Score,@,Charlotte Hornets,W,,115,101,40,27,W 4,
68,Fri Mar 11 2022,7:30p,,Box Score,,Detroit Pistons,W,,114,103,41,27,W 5,
69,Sun Mar 13 2022,3:30p,,Box Score,,Dallas Mavericks,L,,92,95,41,28,L 1,
70,Wed Mar 16 2022,10:00p,,Box Score,@,Golden State Warriors,W,,110,88,42,28,W 1,
71,Fri Mar 18 2022,10:00p,,Box Score,@,Sacramento Kings,W,,126,97,43,28,W 2,
72,Sun Mar 20 2022,8:00p,,Box Score,@,Denver Nuggets,W,,124,104,44,28,W 3,
73,Mon Mar 21 2022,8:00p,,Box Score,@,Oklahoma City Thunder,W,,132,123,45,28,W 4,
74,Wed Mar 23 2022,7:30p,,Box Score,,Utah Jazz,W,,125,97,46,28,W 5,
75,Sun Mar 27 2022,6:00p,,Box Score,,Minnesota Timberwolves,W,,134,112,47,28,W 6,
76,Mon Mar 28 2022,7:30p,,Box Score,@,Toronto Raptors,L,OT,112,115,47,29,L 1,
77,Wed Mar 30 2022,7:30p,,Box Score,,Miami Heat,L,,98,106,47,30,L 2,
78,Fri Apr 1 2022,7:30p,,Box Score,,Indiana Pacers,W,,128,123,48,30,W 1,
79,Sun Apr 3 2022,1:00p,,Box Score,,Washington Wizards,W,,144,102,49,30,W 2,
80,Wed Apr 6 2022,8:00p,,Box Score,@,Chicago Bulls,W,,117,94,50,30,W 3,
81,Thu Apr 7 2022,7:30p,,Box Score,@,Milwaukee Bucks,L,,121,127,50,31,L 1,
82,Sun Apr 10 2022,7:00p,,Box Score,@,Memphis Grizzlies,W,,139,110,51,31,W 1,
