G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
73,Wed Mar 23 2022,7:00p,,Box Score,@,Detroit Pistons,L,,101,122,36,37,L 1,
74,Fri Mar 25 2022,7:30p,,Box Score,,Golden State Warriors,W,,121,110,37,37,W 1,
75,Mon Mar 28 2022,7:00p,,Box Score,@,Indiana Pacers,W,,132,123,38,37,W 2,
76,Wed Mar 30 2022,8:00p,,Box Score,@,Oklahoma City Thunder,W,,136,118,39,37,W 3,
77,Thu Mar 31 2022,7:30p,,Box Score,,Cleveland Cavaliers,W,,131,107,40,37,W 4,
78,Sat Apr 2 2022,7:30p,,Box Score,,Brooklyn Nets,W,,122,115,41,37,W 5,
79,Tue Apr 5 2022,7:30p,,Box Score,@,Toronto Raptors,L,,108,118,41,38,L 1,
80,Wed Apr 6 2022,8:00p,,Box Score,,Washington Wizards,W,,118,103,42,38,W 1,
81,Fri Apr 8 2022,8:00p,,Box Score,@,Miami Heat,L,,109,113,42,39,L 1,
82,Sun Apr 10 2022,3:30p,,Box Score,@,Houston Rockets,W,,130,114,43,39,W 1,
83,Wed Apr 13 2022,7:00p,,Box Score,,Charlotte Hornets,W,,132,103,44,39,W 2,Play-In Game
84,Fri Apr 15 2022,7:30p,,Box Score,@,Cleveland Cavaliers,W,,107,101,45,39,W 3,Play-In Game
